cod_assunt_judici;cod_cjf;cod_cnj_filho;cod_cnj_pai;des_assunt_jf
199030;110203      ;10921;6203;Repatriação de criança ou adolescente
199031;110302      ;6199;6197;Asilo
199032;110303      ;6200;6197;Livre trânsito MERCOSUL
199033;110304      ;6201;6197;Trabalhador migrante ou fronteiriço do MERCOSUL
199034;1104        ;6217;6191;Funcionamento de empresa estrangeira
199035;1105        ;9565;6191;Laudo arbitral internacional
199036;110601      ;6193;6192;Aquisição
199037;110604      ;6194;6192;Perda
199038;1107        ;6213;6191;Normas do MERCOSUL
199039;1108        ;6218;6191;Pessoa Jurídica Estrangeira
199040;1110        ;6202;6191;Proteção Internacional a Direitos Humanos
199042;1112        ;6212;6191;Tratado Internacional
199043;;;9633;DIREITO DA CRIANÇA E DO ADOLESCENTE
199044;;9633;9964;Seção Cível
199045;;11819;9964;Classificação indicativa
199046;;11821;9964;Conselhos tutelares
199047;;11820;9964;Entidades de atendimento
199048;;11817;9964;Fundos
199049;;11816;9964;Infrações administrativas
199050;;11818;9964;Medidas de proteção
199051;;12090;9964;PERDA OU MODIFICAÇÃO DE GUARDA
200000;02          ;899;;Direito Civil
201000;0216        ;10432;899;Coisas
201004;021701      ;7661;5626;Bem de família
202000;0218        ;7947;899;Fatos jurídicos
202001;021801      ;5632;7947;Prescrição e decadência
203000;021603      ;10444;10432;Posse
203001;02160302    ;10445;10444;Esbulho/turbação/ameaça
204000;021604      ;10448;10432;Propriedade
204008;02160402    ;10462;10448;Condomínio
204010;0216040502  ;4656;4654;Direito autoral
205001;021601      ;10494;10432;Hipoteca
206000;0219        ;7681;899;Obrigações
208000;021903      ;9580;7681;Espécies de contrato
208003;02190315    ;9589;9580;Depósito
208004;02190325    ;9594;9580;Mandato
208005;02190331    ;9597;9580;Seguro
208006;021602      ;10488;10432;Penhor
208007;02190306    ;9585;9580;Cartão de crédito
208009;02190408    ;4970;7717;Cheque
208017;02190321    ;9608;9580;Franquia
208018;02190303    ;9584;9580;Arrendamento mercantil
208019;060403      ;7619;7771;Consórcio
208020;02190309    ;9587;9580;Compra e venda
208021;;;;
208022;02190312    ;9607;9580;Contratos bancários
208023;02190328    ;9596;9580;Prestação de serviços
209000;02190332    ;4839;9580;Sistema Financeiro de Habitação
209001;0219033202  ;4841;4839;Quitação
209002;0219033203  ;4842;4839;Reajuste de prestações
209003;0219033207  ;4843;4839;Transferência de financiamento (contrato de gaveta)
209005;0219033206  ;4846;4839;Sustação/alteração de leilão
209006;0219033205  ;4847;4839;Seguro
209008;02160303    ;10446;10444;Imissão
209010;02190506    ;10582;7691;Rescisão/resolução
209011;02160403    ;10463;10448;Condomínio em edifício
209013;0219033204  ;4854;4839;Revisão de saldo devedor
210000;0220        ;10431;899;Responsabilidade civil
210001;;;;
210003;022001      ;10438;10431;Dano ambiental
211002;0216040501  ;4670;4654;Desenho industrial
212006;021904      ;7717;7681;Espécies de títulos de crédito
212007;02190411    ;4973;7717;Letra de câmbio
212008;02190414    ;4976;7717;Nota de crédito rural
212009;02190703    ;9575;4949;Sustação de protesto
212010;02190413    ;4975;7717;Nota de crédito industrial
215000;1103        ;6197;6191;Estrangeiro
215001;1109        ;6216;6191;Prestação de alimentos
215003;110603      ;6195;6192;Concessão de naturalização
215004;110602      ;6196;6192;Cancelamento de naturalização
215005;110301      ;6198;6197;Admissão/entrada/permanência/saíd
216001;02160201    ;10491;10488;Direitos e títulos de crédito
216002;02160202    ;10490;10488;Industrial/mercantil
216003;02160203    ;10489;10488;Rural - agrícola/pecuária
216004;02160204    ;10492;10488;Veículos
216005;02160301    ;10447;10444;Aquisição
216006;02160401    ;10455;10448;Aquisição
216007;0216040101  ;10456;10455;Acessão
216008;0216040102  ;10500;10455;Usucapião da Lei nº 6969/1981
216009;0216040103  ;10457;10455;Usucapião especial (constitucional)
216010;0216040104  ;10460;10455;Usucapião especial coletiva
216011;0216040105  ;10458;10455;Usucapião extraordinária
216012;0216040106  ;10459;10448;Usucapião ordinária
216013;0216040301  ;10595;10463;Multa
216014;02160404    ;10449;10448;Perda da propriedade
216015;02160405    ;4654;10448;Propriedade intelectual/industrial
216016;0216040503  ;4680;4654;Marca
216017;0216040504  ;4660;4654;Patente
216018;0216040505  ;10499;4654;Programa de computador
216019;;11412;10432;Conflito fundiário coletivo rural
216020;;11413;10432;Conflito fundiário coletivo urbano
217000;0217        ;5626;899;Família
219000;021901      ;7690;7681;Adimplemento e extinção
219001;02190101    ;7709;7690;Compensação
219002;02190102    ;7710;7690;Confusão
219003;02190103    ;7707;7690;Dação em pagamento
219004;02190104    ;10592;7690;Desconto em folha de pagamento
219005;02190105    ;7706;7690;Imputação de pagamento
219006;02190106    ;7708;7690;Novação
219007;02190107    ;7703;7690;Pagamento
219008;02190108    ;7705;7690;Pagamento com sub-rogação
219009;02190109    ;7704;7690;Pagamento em consignação
219010;02190110    ;7711;7690;Remissão das dívidas
219011;021902      ;7694;7681;Atos unilaterais
219012;02190201    ;7715;7694;Enriquecimento sem causa
219013;02190202    ;7713;7694;Gestão de negócios
219014;02190203    ;7714;7694;Pagamento indevido
219015;02190204    ;7712;7694;Promessa de recompensa
219016;02190301    ;9581;9580;Agência e distribuição
219017;02190302    ;9582;9580;Alienação fiduciária
219018;02190304    ;9583;9580;Arrendamento rural
219019;02190305    ;4728;9580;Câmbio
219020;02190307    ;9586;9580;Comissão
219021;02190308    ;9602;9580;Comodato
219022;02190310    ;9606;9580;Compromisso
219023;02190311    ;9604;9580;Constituição de renda
219024;02190313    ;9588;9580;Corretagem
219025;02190316    ;9590;9580;Doação
219026;02190317    ;5680;9580;Edição
219027;02190318    ;9591;9580;Empreitada
219028;02190319    ;9601;9580;Estimatório
219029;02190320    ;9592;9580;Fiança
219030;02190322    ;9605;9580;Jogo e aposta
219031;02190323    ;9593;9580;Locação de imóvel
219032;0219032301  ;9614;9593;Benfeitorias
219033;0219032302  ;9611;9593;Despejo para uso de ascendentes e descendentes
219034;0219032303  ;9610;9593;Despejo para uso próprio
219035;0219032304  ;9612;9593;Despejo por denúncia vazia
219036;0219032305  ;9615;9593;Direito de preferência
219037;02190324    ;9609;9580;Locação de móvel
219038;02190326    ;9603;9580;Mútuo
219039;02190327    ;4794;9580;Parceria agrícola e/ou pecuária
219040;02190329    ;4805;9580;Previdência privada
219041;0219032901  ;10590;4805;Resgate de contribuição
219042;02190330    ;4813;9580;Representação comercial
219043;0219033201  ;4840;4839;Equivalência salarial
219044;0219033208  ;10588;4839;Vícios de construção
219045;02190333    ;9598;9580;Transação
219046;02190334    ;9599;9580;Transporte de coisas
219047;02190335    ;9600;9580;Transporte de pessoas
219048;02190336    ;9595;9580;Troca ou permuta
219049;02190401    ;4961;7717;Cédula de crédito à exportação
219050;02190402    ;4960;7717;Cédula de crédito bancário
219051;02190403    ;4962;7717;Cédula de crédito comercial
219052;02190404    ;4963;7717;Cédula de crédito industrial
219053;02190405    ;4964;7717;Cédula de crédito rural
219054;02190406    ;4968;7717;Cédula de produto rural
219055;02190407    ;4969;7717;Cédula hipotecária
219056;02190409    ;4971;7717;Debêntures
219057;02190410    ;4972;7717;Duplicata
219058;02190412    ;4974;7717;Nota de crédito comercial
219059;02190415    ;4980;7717;Nota promissória
219060;02190416    ;4981;7717;Warrant
219061;021905      ;7691;7681;Inadimplemento
219062;02190501    ;7701;7691;Arras ou sinal
219063;02190502    ;7700;7691;Cláusula penal
219064;02190503    ;7697;7691;Correção monetária
219065;02190504    ;7699;7691;Juros de mora - legais/contratuais
219066;0219050401  ;10585;7699;Capitalização/anatocismo
219067;0219050402  ;10586;7699;Limitação de juros
219068;02190505    ;7698;7691;Perdas e danos
219069;021906      ;7696;7681;Preferências e privilégios creditórios
219070;021907      ;4949;7681;Títulos de crédito
219071;02190701    ;4951;4949;Anulação
219072;02190702    ;4957;4949;Requisitos
219073;021908      ;7688;7681;Transmissão
219074;02190801    ;7689;7688;Assunção de dívida
219075;02190802    ;4718;7688;Cessão de crédito
219076;;11804;4839;Programas de Arrendamento Residencial PAR
219077;;11805;4839;Tabela Price
220000;022002      ;10439;10431;Indenização por dano material
220001;02200201    ;10441;10439;Acidente de trânsito
220002;02200202    ;10443;10439;Direito de imagem
220003;02200203    ;10440;10439;Erro médico
220004;02200204    ;10442;10439;Lei de impresnsa
220005;022003      ;10433;10431;Indenização por dano moral
220006;02200301    ;10435;10433;Acidente de trânsito
220007;02200302    ;10437;10433;Direito de imagem
220008;02200303    ;10434;10433;Erro médico
220009;02200304    ;10436;10433;Lei de imprensa
220010;;11954;10439;ACIDENTE DE TRABALHO
300000;03          ;14;;Direito Tributário
301000;0301        ;5913;14;Limitações ao Poder de Tributar
301001;030101      ;5914;5913;Imunidade
301002;030102      ;5915;5913;Isenção
301003;03010101    ;10528;5914;Entidades sem Fins Lucrativos
301004;03010102    ;10530;5914;Imunidade Recíproca
301005;03010103    ;10527;5914;Livros/Jornais/Periódicos
301006;03010104    ;10529;5914;Partidos Políticos
301007;030103      ;10540;5913;Competência Tributária
302000;0302        ;5916;14;Impostos
302001;030201      ;5917;5916;IRPF/Imposto de Renda de Pessoa Física
302002;03020101    ;5918;5917;Incidência sobre PDV
302003;03020102    ;5919;5917;Incidência sobre Aposentadoria
302004;03020103    ;10689;5917;Correção da Tabela
302005;03020104    ;5920;5917;Incidência sobre Aplicações Financeiras
302006;03020105    ;5921;5917;Incidência sobre Licença-Prêmio/Abono/Indenização
302007;03020106    ;5922;5917;Retido na fonte
302008;03020107    ;5923;5917;Incidência sobre Férias Compensadas
302009;03020108    ;5924;5917;Incidência sobre Proventos de Previdência Privada
302010;03020109    ;5925;5917;Incidência sobre Participação nos Lucros
302011;03020110    ;5926;5917;Incidência sobre Lucro Imobiliário
302012;030202      ;5933;5916;IRPJ/Imposto de Renda de Pessoa Jurídica
302013;03020201    ;5940;5933;Compensação de Prejuízos
302014;03020202    ;5934;5933;Microempresa
302015;03020203    ;5935;5933;Demonstrações Financeiras (DCTF)
302016;03020205    ;5936;5933;Incidência sobre Aplicações Financeiras
302017;03020206    ;5937;5933;Retido na fonte
302018;03020207    ;5938;5933;Incidência sobre Lucro Líquido
302019;030203      ;5941;5916;II/ Imposto sobre Importação
302020;03020301    ;5942;5941;Importação de bens usados
302021;03020302    ;5943;5941;Drawback
302022;030204      ;5944;5916;IE/ Imposto sobre Exportação
302023;030205      ;5945;5916;IPI/ Imposto sobre Produtos Industrializados
302024;030206      ;10690;5916;IPMF/ Imposto Provisório sobre Movimentação Financeira
302025;030207      ;5946;5916;ICMS/ Imposto sobre Circulação de Mercadorias
302026;03112301    ;10556;6008;Exclusão de ICMS
302027;030208      ;5948;5916;IOC/IOF Imposto sobre operações de crédito, câmbio e seguro, ou relativas a títulos ou valores mobiliários
302028;030209      ;5950;5916;ITR/ Imposto Territorial Rural
302029;030210      ;5951;5916;ISS/ Imposto sobre Serviços
302030;030211      ;5952;5916;IPTU/ Imposto Predial e Territorial Urbano
302032;03020111    ;5927;5917;Incidência sobre 1/3 de férias (art 7º, XVII da CF)
302033;031121      ;6009;5986;Crédito Prêmio
302034;03020112    ;5928;5917;Incidência sobre 13° Salário
302035;031122      ;6010;5986;Crédito Presumido
302036;03020702    ;5947;5946;ICMS/Importação
302037;03020113    ;5929;5917;Incidência sobre Função Comissionada
302038;03020114    ;5930;5917;Incidência sobre Hora-Extra
302039;03020115    ;5931;5917;Incidência decorrente de Desligamento de Plano de Previdência Privada
302040;03020116    ;5932;5917;Incidência decorrente de Liquidação de Entidade de Previdência Privada
302041;03020117    ;10661;5917;Incidência sobre Abono de Permanência
302042;03020118    ;10532;5917;Incidência sobre Auxílio-condução
302043;03020119    ;10533;5917;Incidência sobre Auxílio-creche
302044;03020208    ;5939;5933;Cooperativa
302045;03020801    ;5949;5948;Incidência sobre Ações de Companhias Abertas
302046;030213      ;5953;5916;IPVA - Imposto sobre Propriedade de Veículos Automotores
302047;030214      ;5954;5916;ITBI - Imposto de Transmissão Intervivos de Bens Móveis e Imóveis
302048;030215      ;5955;5916;ITCD - Imposto de Transmissão Causa Mortis
303000;0303        ;5956;14;Taxas
303003;03031301    ;5958;5957;Taxa Anual por Hectare
303004;03031302    ;5959;5957;Taxa de Armazenamento
303005;03031303    ;5960;5957;Taxa de Despacho Aduaneiro
303006;03031304    ;5961;5957;Taxa de Exploração Mineral
303007;03031305    ;5962;5957;Taxa de Fiscalização Ambiental
303008;03031306    ;5963;5957;Taxa de Guia de Importação
303009;03031307    ;5964;5957;Taxa de Licença de Importação
303010;03031308    ;5965;5957;Taxa de Melhoramento de Portos
303011;03031309    ;5966;5957;Taxa de Permanência
303012;03031310    ;5967;5957;Taxa de Saúde Suplementar
303013;030313      ;5957;5956;Taxas Federais
303014;03031311    ;5968;5957;Taxa de Fiscalização da Comissão de Valores Mobiliários
303015;03031312    ;5969;5957;Taxa Judiciária
303016;03031313    ;5970;5957;Taxa de Aferição de Equipamentos de Metrologia
303017;030314      ;5971;5956;Estaduais
303018;030315      ;5972;5956;Municipais
303019;03031501    ;10536;5972;Taxa de Coleta de Lixo
303020;03031502    ;10535;5972;Taxa de Iluminação Pública
303021;03031503    ;10538;5972;Taxa de Licenciamento de Estabelecimento
303022;03031504    ;10534;5972;Taxa de Limpeza Pública
303023;03031505    ;10537;5972;Taxa de Prevenção e Combate a Incêndio
303024;;55015;5957;TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA
303025;;55016;5957;TAXA DE ANOTAÇÃO DE RESPONSABILIDADE TÉCNICA - ART
304000;0304        ;6031;14;Contribuições
304001;030401      ;6032;6031;Contribuição de Melhoria - Tributário
304002;03040203    ;10562;6033;Cofins - Importação
304003;0304020401  ;10563;6036;Compensação de prejuízo
304004;03040208    ;10561;6033;PIS - Importação
304005;03040304    ;10565;6044;Contribuição Sindical Rural
304006;03040415    ;6069;6048;Contribuição sobre Nota Fiscal de Execução de Serviços
304007;03040416    ;6063;6048;Auxílio-alimentação
304008;03040418    ;6064;6048;Custeio de Assistência Médica
304009;03040419    ;6065;6048;Hora-extra
304010;03040420    ;6066;6048;Massa Falida - recolhimento
304011;03040421    ;6068;6048;Salário-maternidade
304012;03040514    ;6083;6071;Contribuição de Iluminação Pública
304013;03040515    ;6086;6071;Contribuição sobre Açúcar e Álcool
304014;03040516    ;6084;6071;IUEE/Imposto Único sobre Energia Elétrica
305000;030402      ;6033;6031;Contribuição Social
305001;03040201    ;6034;6033;Finsocial
305002;03040202    ;6035;6033;Cofins
305003;03040204    ;6036;6033;Contribuição Social sobre o Lucro Líquido
305004;03040205    ;6037;6033;Salário-Educação
305005;03040206    ;6038;6033;Seguro acidentes do trabalho
305006;03040207    ;6039;6033;PIS
305007;03040417    ;6070;6048;Contribuição de autônomos, Empresários (Pró-labore) e Facultativos
305008;03040209    ;6040;6033;FUNRURAL
305009;03040210    ;6041;6033;Contribuição INCRA
305010;03040211    ;6042;6033;PASEP
305011;03040422    ;6067;6048;Nota Fiscal ou Fatura
305012;03040213    ;6043;6033;Construção Civil
306000;030403      ;6044;6031;Contribuições Corporativas
306001;03040301    ;6045;6044;Contribuições para o SEBRAE, SESC, SENAC, SENAI e outros
306002;03040302    ;6046;6044;Conselhos Regionais e afins (Anuidade)
306003;03040303    ;6047;6044;Contribuição Sindical
307000;030404      ;6048;6031;Contribuições Previdenciárias
307002;03040401    ;6049;6048;Servidores Ativos
307003;03040402    ;6050;6048;Servidores Inativos
307004;03040403    ;6051;6048;Mandato Eletivo/Lei 9506/97
307005;03040404    ;6052;6048;Aposentadoria/retorno ao trabalho
307006;03040405    ;6053;6048;Cargo em Comissão
307007;03040406    ;6054;6048;Tempo de Serviço Urbano/Contribuições não recolhidas
307008;03040407    ;6055;6048;Tempo de Serviço Rural/Contribuições não recolhidas
307009;03040408    ;6056;6048;Gratificação Natalina/13º salário
307010;03040409    ;6057;6048;Produção Agropecuária
307011;03040410    ;6058;6048;Indenização Trabalhista
307012;03040411    ;6059;6048;Reembolso auxílio-creche
307013;03040412    ;6060;6048;Contribuição sobre a folha de sal
307014;03040413    ;6061;6048;Devolução de contribuições previdenciárias pagas além do teto
307015;03040414    ;6062;6048;1/3 de férias
308000;0308        ;5973;14;Empréstimo Compulsório
308001;030801      ;5974;5973;Aquisição de veículos automotores
308002;030802      ;5975;5973;Aquisição de combustíveis
308003;030803      ;5976;5973;Aquisição de passagens e moedas - Viagem Exterior
308004;030804      ;5977;5973;Energia Elétrica
309000;030405      ;6071;6031;Contribuições Especiais
309002;03040501    ;6072;6071;FNT/Fundo Nacional de Telecomunicações
309003;03040502    ;6073;6071;ATP/Adicional de Tarifa Portuária
309004;03040503    ;6074;6071;AITP/Adicional de Indenização do Trabalhador Portuário Avulso
309005;03040504    ;6075;6071;Adicional de Tarifa Aeroportuária
309006;03040505    ;6076;6071;AFRMM/Adicional ao Frete para Renovação da Marinha Mercante
309007;03040506    ;6085;6071;FGTS/Fundo de Garantia por Tempo 
309008;0304050601  ;;;FGTS - Contribuição da LC 110/2001
309009;03040507    ;6077;6071;FUNDEF/Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e Valorização do Magistério
309010;03040508    ;6087;6071;CPMF/Contribuição Provisória sobre Movimentação Financeira
309011;03040509    ;6078;6071;Seguro Apagão (Lei 10438/02)
309012;03040510    ;6079;6071;Contribuição sobre licença de uso ou transferência de tecnologia
309013;03040511    ;6080;6071;Contribuição de Intervenção no Domínio Econômico (CIDE)
309014;031503      ;6092;6089;SIMPLES
309015;03040512    ;6081;6071;FUNDAF/Fundo Especial de Desenvolvimento e Aperfeiçoamento das Atividades de Fiscalização
309016;03040513    ;6082;6071;FUSEX/FUNSA/FUSMA/Fundo de Saúde das Forças Armadas
310000;0310        ;5978;14;Obrigação Tributária
310002;031002      ;5979;5978;Responsabilidade tributária
310003;031003      ;5982;5978;DIMOB/ Declaração de Informações sobre Atividades Imobilíárias
310004;031004      ;5985;5978;Obrigação Acessória
310005;03100201    ;5980;5979;Responsabilidade Tributária do Sócio-Gerente/ Diretor / Representante
310006;03100202    ;5981;5979;Substituição Tributária
311000;0311        ;5986;14;Crédito Tributário
311001;031101      ;5987;5986;Suspensão da Exigibilidade
311002;03110101    ;5988;5987;Carta de fiança
311004;03110103    ;5989;5987;Parcelamento
311005;031502      ;6090;6089;REFIS/Programa de Recuperação Fiscal
311007;03110605    ;5991;5990;Compensação com Apólices da Dívida Pública
311008;031106      ;5990;5986;Extinção do Crédito Tributário
311011;031109      ;5997;5986;Denúncia espontânea (art 138 CTN)
311012;031110      ;5998;5986;Lançamento
311013;03110604    ;5994;5990;Compensação
311014;031501      ;6091;6089;PAES/Parcelamento Especial
311015;031113      ;5999;5986;Certidão Negativa de Débito (CND)
311016;03111301    ;6000;5999;Expedição de CND
311017;03111302    ;6001;5999;Expedição de Certidão Positiva de Débito com Efeito de Negativa
311018;031005      ;5983;5978;CNPJ - Cadastro Nacional de Pessoas Jurídicas
311020;;;;
311021;031116      ;6003;5986;Incentivos fiscais
311022;03111303    ;6002;5999;Certificado de Regularidade - FGTS/Fundo de Garantia por Tempo de Serviço
311023;031117      ;6007;5986;Repetição de Indébito
311024;03110102    ;10543;5987;Depósito Judicial
311025;031006      ;5984;5978;CPF/Cadastro de Pessoas Físicas
311026;03110606    ;5995;5990;TDA/Títulos da Dívida Agrária
311027;031120      ;6004;5986;Anulação de Débito Fiscal
311028;031123      ;6008;5986;Base de cálculo
311029;03110602    ;5992;5990;Prescrição
311030;0311060201  ;10545;5992;Constitucionalidade do art 46 da Lei nº 8212/91
311031;0311060202  ;10544;5992;Constitucionalidade do art 4º da LC 118/2005
311032;0311060203  ;10548;5992;Decretação de ofício
311033;0311060204  ;10547;5992;Interrupção
311034;031106020401;10550;10547;Despacho de citação
311035;0311060205  ;10546;5992;Suspensão
311036;031106020501;10549;10546;Arquivamento administrativo - Crédito de Pequeno Valor
311037;03110603    ;5993;5990;Decadência
311038;0311060301  ;10551;5993;Constitucionalidade do art 45 da Lei nº 8212/1991
311039;03112302    ;10559;6008;"""Cálculo de ICMS """"por dentro"""""""
311040;03112303    ;10557;6008;Exclusão - IPI
311041;03112304    ;10558;6008;Exclusão - Receitas Provenientes de Exportação
311042;031125      ;6012;5986;Alíquota
311043;03112501    ;6014;6012;Alíquota Progressiva
311044;03112502    ;6013;6012;Alíquota Zero
311045;03112503    ;6015;6012;Índice da Alíquota
311046;031126      ;5996;5986;Anistia
311047;031127      ;6016;5986;Creditamento
311048;031128      ;6011;5986;Fato Gerador/Incidência
311049;031129      ;6006;5986;Prazo de Recolhimento
311050;03020503    ;10947;5945;Princípio da Seletividade
311051;031007      ;10539;5978;Capacidade Tributária
311052;03112305    ;10959;6008;Exclusão - Receitas Transferidas a outras Pessoas Jurídicas
312000;0312        ;6017;14;Dívida Ativa
313000;0313        ;6018;14;Processo Administrativo Fiscal
313002;031302      ;6019;6018;Depósito Prévio ao Recurso Administrativo
313003;031303      ;6020;6018;Arrolamento de Bens
314000;0314        ;6021;14;Procedimentos Fiscais
314001;031401      ;6022;6021;Sigilo Fiscal
314003;031403      ;6025;6021;Levantamento de depósito
314004;031404      ;6026;6021;Cadastro de Inadimplentes - CADIN
314005;031124      ;6005;5986;Juros/Correção Monetária
314006;031406      ;6029;6021;Perdimento de Bens
314007;031407      ;6024;6021;Liberação de Mercadorias
314008;03140101    ;6023;6022;Utilização de Dados Relativos à CPMF para Fins de Fiscalização
314009;031408      ;6028;6021;Liberação de Veículo Apreendido
314010;031409      ;10560;6021;Quebra de Sigilo Bancário
314011;031410      ;6027;6021;Autorização para Impressão de Documentos Fiscais - AIDF
315000;0315        ;6089;14;Regimes Especiais de Tributação
315001;031504      ;6093;6089;Super SIMPLES
315002;;55010;6089;CSRF - CONTRIBUIÇÕES SOCIAIS RETIDAS NA FONTE DE PESSOAS JURÍDICAS DE DIREITO PRIVADO
315003;;55014;6089;INCORPORAÇÕES IMOBILIÁRIAS DO PMCMV
316000;0316        ;6088;14;Discriminação Tributária MERCOSUL
317000;0317        ;6030;14;GATT - Acordo Geral sobre Tarifas e Comércio
400000;04          ;195;;Direito Previdenciário
401000;0401        ;6094;195;Benefícios em Espécie
401001;040101      ;6095;6094;Aposentadoria por Invalidez (Art42/7)
401002;040102      ;6096;6094;Aposentadoria por Idade (Art 48/51)
401003;04010201    ;6097;6096;Urbana
401004;04010202    ;6098;6096;Rural
401006;040104      ;6100;6094;Aposentadoria Especial (Art 57/8)
401007;040105      ;6101;6094;Auxílio-Doença Previdenciário
401008;040106      ;6102;6094;Salário-Família (Art 65/70)
401009;040107      ;6103;6094;Salário-Maternidade (Art 71/73)
401010;040108      ;6104;6094;Pensão por Morte (Art 74/9)
401011;040109      ;6105;6094;Auxílio-Reclusão (Art 80)
401012;040110      ;6106;6094;Pecúlios (Art 81/5)
401013;040111      ;6107;6094;Auxílio-Acidente (Art 86)
401014;040112      ;6113;6094;Abono de Permanência em Serviço (Art 87)
401015;040113      ;6114;6094;Benefício Assistencial (Art 203,V
401016;040115      ;6115;6094;Ferroviário
401017;040116      ;6116;6094;Ex-combatentes
401018;040117      ;6117;6094;Renda Mensal Vitalícia
401019;04011101    ;6108;6107;Incapacidade laborativa parcial
401020;04011102    ;6109;6107;Incapacidade laborativa permanente
401021;04011103    ;6110;6107;Incapacidade laborativa temporária
401022;04011104    ;6111;6107;Movimentos repetitivos/tenossinovite/LER/DORT
401023;04011105    ;6112;6107;Redução da capacidade auditiva
401024;040118      ;6099;6094;Aposentadoria por tempo de serviço (art 52/4)
401025;040119      ;6118;6094;Aposentadoria por tempo de contribuição (art 55/6)
401026;040120      ;7757;6094;Auxílio-doença acidentário
401028;;10567;6094;Aposentadoria por Invalidez Acidentária
401029;;11946;6114;Deficiente
401030;;55001;6095;ACRÉSCIMO DE 25%
401031;;11947;6114;IDOSO
401032;;55007;6094;APOSENTADORIA DA PESSOA COM DEFICIÊNCIA
402000;0402        ;6119;195;RMI - Renda Mensal Inicial, Reajustes e Revisões Específicas
402001;040201      ;6120;6119;Renda Mensal Inicial
402002;04020101    ;6121;6120;RMI pelo art 202 CF/88 (média dos 36 últimos salários-de-contribuição)
402003;04020102    ;6122;6120;RMI pelo art 1º da Lei 6423/77 - índices de atualização dos 24 1ºs salários-de-contribuição, anteriores aos 12 últimos)
402004;04020103    ;6123;6120;RMI pela equivalência entre Salário-de-Benefício e Salário-de-Contribuição
402005;04020104    ;6124;6120;RMI sem incidência de Teto Limitador
402006;04020105    ;6125;6120;RMI da pensão de dependente de ex-combatente
402007;04020106    ;6126;6120;Benefício mínimo a partir da CF/88 (art 201, § 2º CF/88)
402008;04020107    ;6127;6120;Parcelas e índices de correção do salário-de-contribuição
402009;04020108    ;6128;6120;Limitação do salário-de-benefício e da renda mensal inicial
402010;04020109    ;6129;6120;RMI cuja salário-de-benefício supera menor valor teto
402011;04020110    ;6130;6120;Escala de Salário-Base
402012;04020111    ;6131;6120;Contribuição sobre vinte salários mínimos
402013;04020112    ;6132;6120;Cálculo do Benefício de acordo com a Sistemática anterior à Lei 9876/99
402014;04020113    ;6133;6120;IRSM de Fevereiro de 1994(39,67%)
402015;04020115    ;6134;6120;Alteração do coeficiente de cálculo de pensão
402016;04020116    ;6135;6120;Alteração do coeficiente de cálculo do benefício
402017;040401      ;6174;6173;Data de início do benefício (DIB)
402022;040203      ;6138;6119;Reajustes e Revisões Específicas
402023;04020301    ;6139;6138;Reajuste pela Súmula 260 do TFR
402024;04020302    ;6140;6138;Art 58 ADCT da CF/88
402025;04020303    ;6141;6138;Utilização do PNS no Reajuste de Benefícios
402026;04020304    ;6142;6138;Manutenção do Benefício pela equivalência salarial
402027;04020305    ;6143;6138;Expurgos inflacionários sobre os benefícios
402028;04020306    ;6144;6138;Salário Mínimo de Ncz$ 120,00 para junho/89
402029;04020307    ;6145;6138;Reajuste de 147%
402030;04020308    ;6146;6138;Reajustamento pelo IGP-DI
402031;04020316    ;6147;6138;Aplicação de coeficiente de cálculo diverso do fixado na Lei nº 8213/91
402032;04020317    ;6148;6138;Reajuste aplicado ao salário mínimo em setembro/94
402033;04020318    ;6149;6138;Sistemática de conversão dos benefícios previdenciários em URVs
402034;04020319    ;6150;6138;Reajustamento pelo INPC
402036;04020320    ;6151;6138;Art 144 da Lei 8213/91 e/ou diferenças decorrentes
402037;04020321    ;6152;6138;Gratificação Natalina a partir da CF/88 (art 201, § 6º, CF/88)
402038;04020322    ;6153;6138;Abono da Lei 8178/91
402039;04020323    ;6154;6138;Índice de 4,02% da Lei 8222/91
402040;04020324    ;6155;6138;Desconto do DL 1910/81
402041;04020325    ;6156;6138;Descontos dos benefícios
402042;04020326    ;6157;6138;Correção monetária pela Súmula 71 TFR
402043;04020327    ;6158;6138;Correção monetária de benefício pago com atraso
402046;04020117    ;6136;6120;Cálculo do benefício de segurado especial de acordo com a Lei 9876/99
402047;04020118    ;6137;6120;Cálculo do fator previdenciário - Lei 9876/99
402049;04020328    ;6159;6138;Reajuste conforme Portaria MPAS 714/1993
402050;;11945;6149;Revisão do valor do benefício no primeiro reajuste após a concessão (Art. 21, § 3º, da Lei 8.880/1994)
402051;;11944;6120;Alteração do teto máximo para o valor do benefício  previdenciário do RGPS (EC 20 e 41)
402052;;11941;6120;Art. 26 da Lei 8.870/1994
402053;;11943;6120;Art. 29, II, da Lei 8.213/1991
402054;;11942;6120;Art. 29, § 5º, da Lei 8.213/1991
402055;;11940;6127;Inclusão do 13º salário (gratificação natalina) no PBC
402056;;55003;6138;DIFERENÇA EC 20 E 41
403000;0403        ;6160;195;Disposições Diversas Relativas às Prestações
403001;040301      ;6161;6160;Habilitação e Reabilitação Profissional
403002;040302      ;6162;6160;Decadência/Prescrição
403003;040303      ;;;Requerimento Administrativo
